year,category,laureates,shared_count
1979,Chemistry,"['Herbert C. Brown', 'Georg Wittig']",2
1979,Economic Sciences,"['Theodore W. Schultz', 'Sir Arthur Lewis']",2
1979,Literature,['Odysseus Elytis'],1
1979,Peace,['Mother Teresa'],1
1979,Physics,"['Sheldon Lee Glashow', 'Abdus Salam', 'Steven Weinberg']",3
1979,Physiology or Medicine,"['Allan M. Cormack', 'Godfrey N. Hounsfield']",2
1980,Chemistry,"['Paul Berg', 'Walter Gilbert', 'Frederick Sanger']",3
1980,Economic Sciences,['Lawrence R. Klein'],1
1980,Literature,['Czesław Miłosz'],1
1980,Peace,['Adolfo Pérez Esquivel'],1
1980,Physics,"['James Watson Cronin', 'Val Logsdon Fitch']",2
1980,Physiology or Medicine,"['Baruj Benacerraf', 'Jean Dausset', 'George D. Snell']",3
1981,Chemistry,"['Kenichi Fukui', 'Roald Hoffmann']",2
1981,Economic Sciences,['James Tobin'],1
1981,Literature,['Elias Canetti'],1
1981,Peace,['Office of the United Nations High Commissioner for Refugees'],1
1981,Physics,"['Nicolaas Bloembergen', 'Arthur Leonard Schawlow', 'Kai M. Siegbahn']",3
1981,Physiology or Medicine,"['Roger W. Sperry', 'David H. Hubel', 'Torsten N. Wiesel']",3
1982,Chemistry,['Aaron Klug'],1
1982,Economic Sciences,['George J. Stigler'],1
1982,Literature,['Gabriel García Márquez'],1
1982,Peace,"['Alva Myrdal', 'Alfonso García Robles']",2
1982,Physics,['Kenneth G. Wilson'],1
1982,Physiology or Medicine,"['Sune K. Bergström', 'Bengt I. Samuelsson', 'John R. Vane']",3
1983,Chemistry,['Henry Taube'],1
1983,Economic Sciences,['Gerard Debreu'],1
1983,Literature,['William Golding'],1
1983,Peace,['Lech Wałęsa'],1
1983,Physics,"['Subrahmanyan Chandrasekhar', 'William Alfred Fowler']",2
1983,Physiology or Medicine,['Barbara McClintock'],1
1984,Chemistry,['Robert Bruce Merrifield'],1
1984,Economic Sciences,['Richard Stone'],1
1984,Literature,['Jaroslav Seifert'],1
1984,Peace,['Desmond Mpilo Tutu'],1
1984,Physics,"['Carlo Rubbia', 'Simon van der Meer']",2
1984,Physiology or Medicine,"['Niels K. Jerne', 'Georges J.F. Köhler', 'César Milstein']",3
1985,Chemistry,"['Herbert A. Hauptman', 'Jerome Karle']",2
1985,Economic Sciences,['Franco Modigliani'],1
1985,Literature,['Claude Simon'],1
1985,Peace,['International Physicians for the Prevention of Nuclear War'],1
1985,Physics,['Klaus von Klitzing'],1
1985,Physiology or Medicine,"['Michael S. Brown', 'Joseph L. Goldstein']",2
1986,Chemistry,"['Dudley R. Herschbach', 'Yuan T. Lee', 'John C. Polanyi']",3
1986,Economic Sciences,['James M. Buchanan Jr.'],1
1986,Literature,['Wole Soyinka'],1
1986,Peace,['Elie Wiesel'],1
1986,Physics,"['Ernst Ruska', 'Gerd Binnig', 'Heinrich Rohrer']",3
1986,Physiology or Medicine,"['Stanley Cohen', 'Rita Levi-Montalcini']",2
1987,Chemistry,"['Donald J. Cram', 'Jean-Marie Lehn', 'Charles J. Pedersen']",3
1987,Economic Sciences,['Robert M. Solow'],1
1987,Literature,['Joseph Brodsky'],1
1987,Peace,['Oscar Arias Sánchez'],1
1987,Physics,"['J. Georg Bednorz', 'K. Alexander Müller']",2
1987,Physiology or Medicine,['Susumu Tonegawa'],1
1988,Chemistry,"['Johann Deisenhofer', 'Robert Huber', 'Hartmut Michel']",3
1988,Economic Sciences,['Maurice Allais'],1
1988,Literature,['Naguib Mahfouz'],1
1988,Peace,['United Nations Peacekeeping Forces'],1
1988,Physics,"['Leon M. Lederman', 'Melvin Schwartz', 'Jack Steinberger']",3
1988,Physiology or Medicine,"['Sir James W. Black', 'Gertrude B. Elion', 'George H. Hitchings']",3
1989,Chemistry,"['Sidney Altman', 'Thomas R. Cech']",2
1989,Economic Sciences,['Trygve Haavelmo'],1
1989,Literature,['Camilo José Cela'],1
1989,Peace,['The 14th Dalai Lama (Tenzin Gyatso)'],1
1989,Physics,"['Norman F. Ramsey', 'Hans G. Dehmelt', 'Wolfgang Paul']",3
1989,Physiology or Medicine,"['J. Michael Bishop', 'Harold E. Varmus']",2
1990,Chemistry,['Elias James Corey'],1
1990,Economic Sciences,"['Harry M. Markowitz', 'Merton H. Miller', 'William F. Sharpe']",3
1990,Literature,['Octavio Paz'],1
1990,Peace,['Mikhail Sergeyevich Gorbachev'],1
